2025-02-26T09:24:42+0100 [twisted.scripts._twistd_unix.UnixAppLogger#info] twistd 22.1.0 (/usr/bin/python3 3.10.12) starting up.
2025-02-26T09:24:42+0100 [twisted.scripts._twistd_unix.UnixAppLogger#info] reactor class: twisted.internet.epollreactor.EPollReactor.
2025-02-26T09:24:42+0100 [-] Site starting on 9595
2025-02-26T09:24:42+0100 [twisted.web.server.Site#info] Starting factory <twisted.web.server.Site object at 0x7b8086763400>
2025-02-26T09:33:09+0100 [twisted.python.log#info] "127.0.0.1" - - [26/Feb/2025:08:33:09 +0000] "GET / HTTP/1.1" 200 1057 "-" "curl/7.81.0"
2025-02-26T09:36:18+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:36:18 +0000] "GET /latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:36:42+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:36:42 +0000] "GET /latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:36:47+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:36:47 +0000] "GET /latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:36:52+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:36:52 +0000] "GET /latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:36:57+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:36:57 +0000] "GET /latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:37:02+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:37:02 +0000] "GET /latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:37:07+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:37:07 +0000] "GET /latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:37:12+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:37:12 +0000] "GET /latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:37:18+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:37:17 +0000] "GET /latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:40:04+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:40:03 +0000] "GET /badge/latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:40:09+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:40:08 +0000] "GET /badge/latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:40:14+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:40:13 +0000] "GET /badge/latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:40:19+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:40:18 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 24275 "-" "python-requests/2.32.3"
2025-02-26T09:40:25+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:40:25 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 24275 "-" "python-requests/2.32.3"
2025-02-26T09:40:32+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:40:31 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 24275 "-" "python-requests/2.32.3"
2025-02-26T09:40:38+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:40:37 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 24275 "-" "python-requests/2.32.3"
2025-02-26T09:40:44+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:40:43 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 24275 "-" "python-requests/2.32.3"
2025-02-26T09:40:51+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:40:50 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 24275 "-" "python-requests/2.32.3"
2025-02-26T09:47:09+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:47:09 +0000] "GET /badge/latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:47:11+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:47:11 +0000] "GET /badge/latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:47:13+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:47:13 +0000] "GET /badge/latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:47:15+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:47:15 +0000] "GET /badge/latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:47:17+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:47:17 +0000] "GET /badge/latest.jpg HTTP/1.1" 404 145 "-" "python-requests/2.32.3"
2025-02-26T09:47:19+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:47:19 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 22126 "-" "python-requests/2.32.3"
2025-02-26T09:47:22+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:47:22 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 23335 "-" "python-requests/2.32.3"
2025-02-26T09:47:27+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:47:27 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 44163 "-" "python-requests/2.32.3"
2025-02-26T09:47:30+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:47:30 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 33775 "-" "python-requests/2.32.3"
2025-02-26T09:47:34+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:47:34 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 37093 "-" "python-requests/2.32.3"
2025-02-26T09:47:37+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:47:37 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 34468 "-" "python-requests/2.32.3"
2025-02-26T09:47:40+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:47:40 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 38275 "-" "python-requests/2.32.3"
2025-02-26T09:47:44+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:47:44 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 21279 "-" "python-requests/2.32.3"
2025-02-26T09:47:48+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:08:47:48 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 21279 "-" "python-requests/2.32.3"
2025-02-26T11:25:15+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:10:25:15 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 21279 "-" "python-requests/2.32.3"
2025-02-26T11:25:19+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:10:25:19 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 21279 "-" "python-requests/2.32.3"
2025-02-26T11:25:24+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:10:25:24 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 21279 "-" "python-requests/2.32.3"
2025-02-26T11:25:28+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:10:25:28 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 21279 "-" "python-requests/2.32.3"
2025-02-26T11:25:33+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:10:25:33 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 21279 "-" "python-requests/2.32.3"
2025-02-26T11:25:37+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:10:25:37 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 21279 "-" "python-requests/2.32.3"
2025-02-26T11:25:42+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:10:25:42 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 21279 "-" "python-requests/2.32.3"
2025-02-26T11:25:46+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:10:25:46 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 19626 "-" "python-requests/2.32.3"
2025-02-26T11:25:50+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:10:25:49 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 31141 "-" "python-requests/2.32.3"
2025-02-26T11:25:53+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:10:25:53 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 24568 "-" "python-requests/2.32.3"
2025-02-26T11:25:56+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:10:25:56 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 37062 "-" "python-requests/2.32.3"
2025-02-26T11:26:01+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:10:26:00 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 23457 "-" "python-requests/2.32.3"
2025-02-26T11:26:04+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:10:26:04 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 23684 "-" "python-requests/2.32.3"
2025-02-26T11:26:07+0100 [twisted.python.log#info] "100.74.10.42" - - [26/Feb/2025:10:26:07 +0000] "GET /badge/latest.jpg HTTP/1.1" 200 22183 "-" "python-requests/2.32.3"
